Key-letter,Key-number,Track Name,Artist,URL,Note,Explict,Loaded,meta,,
R,8,Man With a Bag,Kay Star,http://10.10.10.100/media/ManwithABag.mp3,,,,
S,8,Little Drummer Boy,Bing Crosby,http://10.10.10.100/media/LittleDrummer.mp3,,,,
T,8,Silent Night,Bobby Darin,http://10.10.10.100/media/SilentNight.mp3,,,,
U,8,All Holiday Music Clean,Various,http://10.10.10.100/media/,,,,
V,8,All Holiday Music Explicit,,http://10.10.10.100/media/,,,,
A,7,All Lights On Full,Light Control,whiteLight,,,,
B,7,All Lights Off,Light Control,lightOff,,,,
C,7,Sunset,Light Control,sunSet,,,,
D,7,Sunrise,Light Control,sunRise,,,,
E,7,All Lights Candle effect,Light Control,candleLight,,,,
F,7,All Lights The cops,Light Control,theCops,,,,
G,7,Antique,Light Control,antiqueLight,,,,
H,7,Nightlight,Light Control,nightLight,,,,
J,7,Florescent Light,Light Control,florLight,,,,
K,7,Movie Mode,Light Control,movieMode,,,,
L,7,,,,,,,
M,7,,,,,,,
N,7,,,,,,,
P,7,,,,,,,
Q,7,,,,,,,
R,7,,,,,,,
S,7,,,,,,,
T,7,,,,,,,
U,7,,,,,,,
V,7,,,,,,,
A,9,,,,,,,
B,9,,,,,,,
C,9,,,,,,,
D,9,,,,,,,
E,9,,,,,,,
F,9,,,,,,,
G,9,,,,,,,
H,9,,,,,,,
J,9,,,,,,,
K,9,,,,,,,
L,9,,,,,,,
M,9,,,,,,,
N,9,,,,,,,
P,9,,,,,,,
Q,9,,,,,,,
R,9,,,,,,,
S,9,,,,,,,
T,9,,,,,,,
U,9,,,,,,,
V,9,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
